"MBNo","MBDate","ROCode","RONo","Amt"
"QCNS0068991718",28-7-2017 0:00:00,$22.00,$2083.00,$5576.00
"UP/17-18/00281",31-8-2017 0:00:00,$75.00,$2129.00,$25488.00
"09124UP000007",31-8-2017 0:00:00,$56.00,$2114.00,$18054.00
"09124UP0000076",31-8-2017 0:00:00,$54.00,$2112.00,$64192.00
"UP-I-1718-011506",17-7-2017 0:00:00,$29.00,$2089.00,$797.90
"UP-I-1718-0011466",17-7-2017 0:00:00,$17.00,$2078.00,$1595.79
"UP-I-1718-011481",17-7-2017 0:00:00,$23.00,$2084.00,$2166.99
"1802987753",13-7-2017 0:00:00,$19.00,$2080.00,$54261.00
"1904567480",4-8-2017 0:00:00,$68.00,$2126.00,$446.00
"1802997077",28-7-2017 0:00:00,$49.00,$2109.00,$54262.00
"QCNS0072811718",4-8-2017 0:00:00,$39.00,$2063.00,$6797.00
"QCNS0073601718",7-8-2017 0:00:00,$5.00,$2067.00,$6797.00
"QCNS0083551718",1-9-2017 0:00:00,$47.00,$2107.00,$26019.00
"QCNS0083701718",1-9-2017 0:00:00,$45.00,$2105.00,$6938.00
"QCNS008414718",4-9-2017 0:00:00,$59.00,$2117.00,$18585.00
"QCNS0085321718",4-9-2017 0:00:00,$61.00,$2119.00,$6938.00
"QCNS0087851718",8-9-2017 0:00:00,$132.00,$2186.00,$1859.00
"AD1709002534",27-8-2017 0:00:00,$117.00,$2171.00,$892589.00
"UP-I-1718-060059",11-9-2017 0:00:00,$127.00,$2181.00,$797.90
"UP-I-1718-060065",11-9-2017 0:00:00,$142.00,$2196.00,$2166.99
"UP-I-1718-060091",11-9-2017 0:00:00,$146.00,$2200.00,$797.90
"UP-I-1718-060095",11-9-2017 0:00:00,$147.00,$2201.00,$797.90
"UP-I-1718-059044",9-9-2017 0:00:00,$143.00,$2197.00,$1595.79
"08JA0/17/13539",6-9-2017 0:00:00,$140.00,$2194.00,$82824.00
"4000184892/17-18",15-9-2017 0:00:00,$116.00,$2170.00,$33772.00
"UP-I-1718-01919",24-7-2017 0:00:00,$33.00,$2096.00,$1595.79
"UP-I-1718I00834",14-7-2017 0:00:00,$10.00,$2072.00,$1595.79
"UP-I-1718-00558",12-7-2017 0:00:00,$9.00,$2071.00,$1595.79
"UP-I-1718-02775",31-7-2017 0:00:00,$46.00,$2106.00,$2166.99
"UP-I-1718I026589",31-7-2017 0:00:00,$62.00,$2120.00,$15579.48
"UP-I-17070550",31-7-2017 0:00:00,$3.00,$2066.00,$5506.55
"UP-I-1718-021126",26-7-2017 0:00:00,$35.00,$2097.00,$7140.00
"UP-I-1718-024544",22-10-2017 0:00:00,$60.00,$2118.00,$3234.10
"UP-I-1718-004789",11-7-2017 0:00:00,$2.00,$2065.00,$6168.96
"UP-I-1718-019920",24-7-2017 0:00:00,$37.00,$2098.00,$2324.07
"UP-I-1718-021090",26-7-2017 0:00:00,$38.00,$2099.00,$32451.30
"UP-I-1718-02113",8-7-2017 0:00:00,$11.00,$2073.00,$1595.79
"UP-I-1718-023027",27-7-2017 0:00:00,$168.00,$2222.00,$3104.75
"UP-I-1718-194094",25-10-2017 0:00:00,$215.00,$2269.00,$1519.79
"UP-I-1718-091763",23-10-2017 0:00:00,$195.00,$2249.00,$1595.79
"UP-I-1718-092889",23-10-2017 0:00:00,$206.00,$2260.00,$15565.20
"UP-I-1718-17100375",11-10-2017 0:00:00,$193.00,$2247.00,$15565.91
"UP-I-1718-082964",11-10-2017 0:00:00,$199.00,$2253.00,$15565.91
"AD1709004490",21-9-2017 0:00:00,$163.00,$2217.00,$85687.00
"MI1701101277",21-9-2017 0:00:00,$157.00,$2211.00,$66938.00
"UP-I-1718-082284",11-10-2017 0:00:00,$187.00,$2241.00,$25424.33
"",,$187.00,$2241.00,$25424.33
"UP-I-1718-096394",26-10-2017 0:00:00,$216.00,$2270.00,$5707.50
"UP-I-1718-101108",31-10-2017 0:00:00,$226.00,$2280.00,$797.90
"UP-I-1718-101106",31-10-2017 0:00:00,$225.00,$2279.00,$797.90
"UP-I-1718-101061",31-10-2017 0:00:00,$221.00,$2275.00,$2622.71
"QCNS0114201718",25-10-2017 0:00:00,$170.00,$2224.00,$26019.00
"QCNS0112461718",23-10-2017 0:00:00,$192.00,$2246.00,$3717.00
"QCNS0074531718",8-8-2017 0:00:00,$6.00,$2068.00,$14868.00
"QCNS0085621718",5-9-2017 0:00:00,$6.00,$2068.00,$14868.00
"QCNS0085641718",5-9-2017 0:00:00,$7.00,$2069.00,$22656.00
"QCNS0111661718",20-10-2017 0:00:00,$150.00,$2204.00,$6938.00
"QCNS0110261718",19-10-2017 0:00:00,$151.00,$2205.00,$17346.00
"QCNS0109321718",19-10-2017 0:00:00,$144.00,$2198.00,$20815.00
"QCNS0101701718",5-10-2017 0:00:00,$135.00,$2189.00,$7434.00
"QCNS0102181718",6-10-2017 0:00:00,$6.00,$2068.00,$14868.00
"QCNX0103181718",9-10-2017 0:00:00,$7.00,$2069.00,$22656.00
"QCNS0116701718",30-10-2017 0:00:00,$175.00,$2229.00,$6938.00
"UP/17-18/00354",14-9-2017 0:00:00,$105.00,$2159.00,$10196.00
"09134UP0000202",30-11-2017 0:00:00,$256.00,$2310.00,$9027.00
"09134UP0000177",30-11-2017 0:00:00,$255.00,$2309.00,$32096.00
"UP-I-1718-134072",15-12-2017 0:00:00,$309.00,$2363.00,$3885.60
"UPL-I-1718-135114",18-12-2017 0:00:00,$317.00,$2371.00,$3855.60
"UP-I-1718-135183",18-12-2017 0:00:00,$291.00,$2345.00,$5810.18
"UP-I-1718-132378",12-12-2017 0:00:00,$281.00,$2335.00,$13632.04
"UP-I-1718",15-12-2017 0:00:00,$312.00,$2366.00,$38556.00
