"ROCode","RONo","PayDate","PayAmt","PayMode","ChqNo","BankName"
$2.00,$2065.00,8-7-2017 0:00:00,$6169.00,"CASH","----","RECEIPT NO.- 318418"
$3.00,$2066.00,5-7-2017 0:00:00,$5245.00,"CASH","-----","------"
$4.00,$2091.00,19-8-2017 0:00:00,$9301.00,"CASH","702747","KARNATAKA BANK LTD."
$9.00,$2071.00,6-7-2017 0:00:00,$1596.00,"CASH","----","-----"
$10.00,$2072.00,7-7-2017 0:00:00,$1596.00,"CASH","----","-----"
$11.00,$2073.00,8-7-2017 0:00:00,$1596.00,"CHEQUE","702736","KARNATAKA BANK LTD."
$13.00,$2075.00,8-7-2017 0:00:00,$3984.00,"CHEQUE","702733","KARNATAKA BANK LTD."
$14.00,$2076.00,19-8-2017 0:00:00,$1767.00,"CHEQUE","702733","KARNATAKA BANK LTD."
$16.00,$2077.00,8-7-2017 0:00:00,$798.00,"CASH","----","------"
$17.00,$2078.00,8-7-2017 0:00:00,$1596.00,"CASH","----","-----"
$18.00,$2079.00,11-8-2017 0:00:00,$9301.00,"CHEQUE","702738","KARNATAKA BANK LTD."
$19.00,$2080.00,13-8-2017 0:00:00,$54264.00,"CHEQUE","702742","KARNATAKA BANK LTD."
$20.00,$2081.00,15-9-2017 0:00:00,$46640.00,"CHEQUE","702741","KARNATAKA BANK LTD."
$23.00,$2084.00,13-7-2017 0:00:00,$2167.00,"CASH","----","------"
$29.00,$2089.00,15-7-2017 0:00:00,$800.00,"CASH","----","-----"
$27.00,$2094.00,17-9-2017 0:00:00,$10195.00,"CHEQUE","702751","KARNATAKA BANK LTD."
$33.00,$2096.00,20-7-2017 0:00:00,$1596.00,"CHEQUE","1596","KARNATAKA BANK LTD."
$37.00,$2098.00,22-7-2017 0:00:00,$2324.00,"CASH","---","------"
$38.00,$2099.00,22-7-2017 0:00:00,$32451.00,"CHEQUE","945707","KARNATAKA BANK LTD."
$35.00,$2097.00,22-7-2017 0:00:00,$7140.00,"CHEQUE","945709","KARNATAKA BANK LTD."
$46.00,$2106.00,25-7-2017 0:00:00,$2167.00,"CASH","---","----"
$48.00,$2108.00,27-8-2017 0:00:00,$9301.00,"CHEQUE","945717","KARNATAKA BANK LTD."
$49.00,$2109.00,28-8-2017 0:00:00,$54264.00,"CHEQUE","845719","KARNATAKA BANK LTD."
$50.00,$2110.00,26-7-2017 0:00:00,$3105.00,"CHEQUE","945720","KARNATAKA BANK LTD."
$53.00,$2111.00,30-9-2017 0:00:00,$60180.00,"CHEQUE","945721","KARNATAKA BANK LTD."
$54.00,$2112.00,15-10-2017 0:00:00,$64192.00,"CHEQUE","945722","KARNATAKA BANK LTD."
$55.00,$2113.00,30-9-2017 0:00:00,$16926.00,"CHEQUE","945723","KARNATAKA BANK LTD."
$56.00,$2114.00,15-10-2017 0:00:00,$18054.00,"CHEQUE","945724","KARNATAKA BANK LTD."
$60.00,$2118.00,28-7-2017 0:00:00,$3234.00,"CHEQUE","945728","KARNATAKA BANK LTD."
$62.00,$2120.00,30-7-2017 0:00:00,$15580.00,"CHEQUE","945730","KARNATAKA BANK LTD."
$65.00,$2123.00,1-8-2017 0:00:00,$1596.00,"CASH","----","------"
$68.00,$2126.00,3-8-2017 0:00:00,$447.00,"CHEQUE","945737","KARNATAKA BANK LTD. "
$69.00,$2127.00,3-8-2017 0:00:00,$1750.00,"CASH","-----","------"
$70.00,$2128.00,3-8-2017 0:00:00,$9301.00,"CHEQUE","945738","KARNATAKA BANK LTD."
$75.00,$2129.00,1-10-2017 0:00:00,$25488.00,"CHEQUE","945739","KARNATAKA BANK LTD."
$77.00,$2131.00,5-8-2017 0:00:00,$2324.00,"CASH","----","------"
$78.00,$2132.00,5-8-2017 0:00:00,$1596.00,"CHEQUE","----","------"
$79.00,$2133.00,5-8-2017 0:00:00,$1596.00,"CASH","------","-------"
$82.00,$2136.00,5-8-2017 0:00:00,$40136.00,"CHEQUE","945747","KARNATAKA BANK LTD."
$85.00,$2139.00,10-9-2017 0:00:00,$9301.00,"CHEQUE","945753","KARNATAKA BANK LTD."
$94.00,$2148.00,11-8-2017 0:00:00,$32451.00,"CHEQUE","945755","KARNATAKA BANK LTD."
$95.00,$2149.00,12-9-2017 0:00:00,$54264.00,"CHEQUE","945757","KARNATAKA BANK LTD."
$98.00,$2152.00,12-8-2017 0:00:00,$2324.00,"CHEQUE","CASH","------"
$99.00,$2153.00,12-8-2017 0:00:00,$893.00,"CHEQUE","945759","KARNATAKA BANK LTD."
$101.00,$2155.00,15-8-2017 0:00:00,$28408.00,"CHEQUE","945762","KARNATAKA BANK LTD."
$100.00,$2154.00,12-8-2017 0:00:00,$19264.00,"CHEQUE","945760","KARNATAKA BANK LTD."
$102.00,$2156.00,16-9-2017 0:00:00,$9301.00,"CHEQUE","945761","KARNATAKA BANK LTD"
$105.00,$2159.00,10-10-2017 0:00:00,$10196.00,"CHEQUE","945764","KARNATAKA BANK LTD."
$112.00,$2166.00,16-8-2017 0:00:00,$905.00,"CASH","----","------"
$116.00,$2170.00,24-8-2017 0:00:00,$5827.00,"CHEQUE","945780","KARNATAKA BANK LTD."
$189.00,$2243.00,5-10-2017 0:00:00,$1703.00,"CASH","---","------"
$106.00,$2160.00,,$4552.00,"CHEQUE","945765","KARNATAKA BANK LTD."
$109.00,$2163.00,16-8-2017 0:00:00,$2946.00,"CASH","----","------"
$113.00,$2167.00,18-8-2017 0:00:00,$15580.00,"CHEQUE","945766","KARNATAKA BANK LTD."
$114.00,$2168.00,19-8-2017 0:00:00,$40136.00,"CHEQUE","945773","KARNATAKA BANK LTD."
$115.00,$2169.00,22-9-2017 0:00:00,$9301.00,"CHEQUE","945774","KARNATAKA BANK LTD."
$117.00,$2171.00,23-8-2017 0:00:00,$892500.00,"NEFT / RTGS","",""
$119.00,$2173.00,26-9-2017 0:00:00,$54264.00,"CHEQUE","945778","KARNATAKA BANK LTD."
$123.00,$2177.00,26-8-2017 0:00:00,$19264.00,"CHEQUE","945784","KARNATAKA BANK LTD."
$124.00,$2178.00,26-8-2017 0:00:00,$4406.40,"CASH","----","------"
$126.00,$2180.00,28-8-2017 0:00:00,$1596.00,"CASH","---","-----"
$127.00,$2181.00,28-8-2017 0:00:00,$1596.00,"CASH","----","-----"
$130.00,$2184.00,29-8-2017 0:00:00,$13623.00,"CHEQUE","945793","KARNATAK BANK LTD."
$133.00,$2187.00,30-8-2017 0:00:00,$3105.00,"CHEQUE","945795","KARNATAKA BANK LTD."
$134.00,$2188.00,30-8-2017 0:00:00,$15580.00,"CHEQUE","945798","KARNATAKA BANK LTD."
$137.00,$2191.00,1-9-2017 0:00:00,$411.00,"CHEQUE","945800","KARNATAKA BANK LTD."
$138.00,$2192.00,1-9-2017 0:00:00,$357.00,"CHEQUE","945802","KARNATAKA BANK LTD."
$139.00,$2193.00,4-10-2017 0:00:00,$54264.00,"CHEQUE","945803","KARNATAKA BANK LTD."
$1.00,$2064.00,3-8-2017 0:00:00,$8858.00,"CHEQUE","702724","KARNATAKA BANK LTD."
$1.00,$2064.00,30-8-2017 0:00:00,$446.00,"CHEQUE","945796","KARNATAKA BANK LTD."
$140.00,$2194.00,6-10-2017 0:00:00,$82824.00,"CHEQUE","945804","KARNATAKA BANK LTD."
$141.00,$2195.00,7-10-2017 0:00:00,$9301.00,"CHEQUE","019702","KARNATAKA BANK LTD."
$142.00,$2196.00,5-9-2017 0:00:00,$2167.00,"CASH","---","-----"
$143.00,$2197.00,6-9-2017 0:00:00,$1596.00,"CHEQUE","019703","KARNATAKA BANK LTD."
$145.00,$2199.00,10-9-2017 0:00:00,$32451.00,"CHEQUE","019705","KARNATAKA BANK LTD."
