"RcptCode","RcptNo","ROCode","RONo","RcptDate","RcptAmt","PayMode","ChqNo","BankName","Rmk"
$225.00,$1823.00,$494.00,$2548.00,14-3-2018 0:00:00,$6273.00,"CASH","","",""
$226.00,$1824.00,$275.00,$2329.00,16-3-2018 0:00:00,$50000.00,"NEFT / RTGS","---","KARNATAKA BANK LTD.",""
$227.00,$1825.00,$502.00,$2556.00,16-3-2018 0:00:00,$2400.00,"CASH","---","",""
$228.00,$1826.00,$511.00,$2565.00,17-3-2018 0:00:00,$231230.00,"CHEQUE","NEFT","KARNATAKA BANK LTD.",""
$229.00,$1827.00,$509.00,$2563.00,17-3-2018 0:00:00,$635.00,"CASH","--","",""
$230.00,$1828.00,$508.00,$2562.00,17-3-2018 0:00:00,$525.00,"CASH","","",""
$231.00,$1829.00,$413.00,$2467.00,14-3-2018 0:00:00,$52231.00,"CHEQUE","---","KARNATAKA BANK LTD.",""
$232.00,$1830.00,$382.00,$2436.00,20-3-2018 0:00:00,$1595.00,"CASH","","",""
$233.00,$1831.00,$368.00,$2422.00,20-3-2018 0:00:00,$20925.00,"CHEQUE","609277","VIJAYA BANK",""
$234.00,$1832.00,$466.00,$2520.00,22-3-2018 0:00:00,$6151.00,"NEFT / RTGS","","KARNATAKA BANK LTD.",""
$235.00,$1833.00,$409.00,$2463.00,22-3-2018 0:00:00,$20000.00,"CHEQUE","154436","STATE BANK OF INDIA",""
$236.00,$1834.00,$536.00,$2590.00,24-3-2018 0:00:00,$5900.00,"CHEQUE","003329","BANK OF BARODA",""
$237.00,$1835.00,$471.00,$2525.00,26-3-2018 0:00:00,$15005.00,"NEFT / RTGS","","KARNATAKA BANK LTD.",""
$238.00,$1836.00,$437.00,$2491.00,26-3-2018 0:00:00,$71267.00,"NEFT / RTGS","---","KARNATAKA BANK LTD.",""
$239.00,$1837.00,$534.00,$2588.00,26-3-2018 0:00:00,$603.00,"CASH","","",""
$240.00,$1838.00,$535.00,$2589.00,26-3-2018 0:00:00,$746.00,"CASH","","",""
$241.00,$1839.00,$468.00,$2522.00,23-3-2018 0:00:00,$304512.00,"CHEQUE","287582","PBN",""
$242.00,$1840.00,$547.00,$2601.00,27-3-2018 0:00:00,$1850.00,"CASH","","","AFTER DISCOUNT RS-26/-"
$243.00,$1841.00,$559.00,$2613.00,28-3-2018 0:00:00,$2500.00,"CASH","----","","AFTER DISCOUNT"
$204.00,$1802.00,$384.00,$2438.00,26-3-2018 0:00:00,$9416.00,"CHEQUE","000064","HDFC BANK",""
$244.00,$1842.00,$458.00,$2512.00,28-3-2018 0:00:00,$18051.00,"NEFT / RTGS","","KARNATAKA BANK LTD",""
$245.00,$1843.00,$478.00,$2532.00,28-3-2018 0:00:00,$22176.00,"NEFT / RTGS","","KARNATAKA BANK LTD.",""
$246.00,$1844.00,$451.00,$2505.00,24-3-2018 0:00:00,$3492.00,"CHEQUE","000402","BANK OF BARODA",""
$247.00,$1845.00,$475.00,$2529.00,2-3-2018 0:00:00,$54558.00,"CHEQUE","096051","AXIS BANK LTD.",""
$248.00,$1846.00,$465.00,$2519.00,31-3-2018 0:00:00,$94712.00,"NEFT / RTGS","---","KBANK","BILL NO - 2818 & BILL NO. 2819 CLEAR "
$249.00,$1847.00,$561.00,$2615.00,30-3-2018 0:00:00,$12000.00,"NEFT / RTGS","--","KARNATATAKA BANK LTD.","AFTER 5% DISCOUNT"
$250.00,$1848.00,$492.00,$2546.00,3-4-2018 0:00:00,$133560.00,"NEFT / RTGS","","KARNATAKA BANK LTD",""
$251.00,$1849.00,$578.00,$2632.00,4-4-2018 0:00:00,$894.00,"CASH","","","AFTER 5% DISCOUNT"
$252.00,$1850.00,$470.00,$2524.00,7-4-2018 0:00:00,$2500.00,"CASH","","",""
$253.00,$1851.00,$589.00,$2643.00,9-4-2018 0:00:00,$1870.00,"CASH","--","",""
$254.00,$1852.00,$581.00,$2635.00,7-4-2018 0:00:00,$66962.00,"CHEQUE","000830","HDFC","ONE PAYMENT OF 6 RO"
$255.00,$1853.00,$598.00,$2652.00,10-4-2018 0:00:00,$1870.00,"CASH","--","---","1788+ 89.4 (5% GST)= 1877.4"
$256.00,$1854.00,$590.00,$2644.00,10-4-2018 0:00:00,$200000.00,"NEFT / RTGS","","KARNATAKA BANK LTD",""
$257.00,$1855.00,$445.00,$2499.00,10-4-2018 0:00:00,$18832.00,"CHEQUE","","KARNATAKA BANK LTD",""
$258.00,$1856.00,$612.00,$2666.00,13-4-2018 0:00:00,$1780.00,"CASH","","",""
$259.00,$1857.00,$463.00,$2517.00,16-4-2018 0:00:00,$1700.00,"CHEQUE","383702","STATE BANK OF INDIA",""
$261.00,$1859.00,$454.00,$2508.00,18-4-2018 0:00:00,$11232.00,"NEFT / RTGS","","KARNATAKA BANK LTD.",""
$262.00,$1858.00,$433.00,$2487.00,18-4-2018 0:00:00,$16480.00,"NEFT / RTGS","","KARNATAKA BANK LTD.",""
$263.00,$1860.00,$635.00,$2689.00,19-4-2018 0:00:00,$300.00,"CHEQUE","--","--","AFTER RS. 15 DISCOUNT"
$264.00,$1861.00,$588.00,$2642.00,20-4-2018 0:00:00,$200000.00,"NEFT / RTGS","","KARNATAKA BANK LTD.",""
$265.00,$1862.00,$642.00,$2696.00,21-4-2018 0:00:00,$2734.00,"CHEQUE","107317","PNB","CHQ. NO 107317, PNB"
$266.00,$1863.00,$608.00,$2662.00,23-4-2018 0:00:00,$12700.00,"CHEQUE","000836","HDFC BANK",""
$267.00,$1864.00,$620.00,$2674.00,23-4-2018 0:00:00,$798.00,"CASH","","",""
$3.00,$1602.00,$46.00,$2106.00,25-7-2017 0:00:00,$2400.00,"CASH","`----`","----",""
$1.00,$1604.00,$37.00,$2098.00,15-7-2017 0:00:00,$2597.00,"CASH","---","---","-----"
$5.00,$1605.00,$51.00,$2082.00,29-7-2017 0:00:00,$14124.00,"CHEQUE","521996","PNB","RO- 2082"
$6.00,$1606.00,$23.00,$2084.00,13-7-2017 0:00:00,$2500.00,"CASH","--","----","AFTER DISCOUNT RS. 49/-"
$7.00,$1607.00,$29.00,$2089.00,14-7-2017 0:00:00,$800.00,"CASH","","","-----"
$9.00,$1609.00,$17.00,$2078.00,8-7-2017 0:00:00,$1876.00,"CASH","","",""
$10.00,$1608.00,$16.00,$2077.00,8-7-2017 0:00:00,$940.00,"CASH","","",""
