"ROCode","RONo","RODate","MHCode","MHName","PCode","PName","JobTypeCode","JobTypeName","Caption","EditCentre","DoPubTel","SizeDur","TotSizeDur","GuarantedPos","Premium","StrPre","Rate","StrRate","Amt","NetAmt","Remarks","BillAmt","InvNo","PayAmt","RectNo","RcptAmt","MBAmt","RateCGST","AmtCGST","RateSGST","AmtSGST","RateIGST","AmtIGST","FinalAmt","HSNCode"
$39.00,$2063.00,29-6-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$33.00,"PRATISHTHA DAIRY FARMS PVT. LTD.",$4.00,"ADVERTISING IN WAVE CINEMA","PRATISHTHA DAIRY","WAVE CINEMA MORADABAD","1-7-2017 TO 28-7-2017","10 SEC.","10 SEC. X 3 SCREE X 4 WEEK","INTERVAL",$0.00,"",$600.00,"FOR 10 SEC.",$7200.00,$5760.00,"USE RUNNING ADVT. FOR ADVERTISEMENT.",$8240.23,$2413.00,$0.00,,$0.00,$6797.00,$0.00,$0.00,$0.00,$0.00,$18.00,$1036.80,$6796.80,
$40.00,$2100.00,24-7-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$29.00,"FIRST VENTURE HOLDINGS",$4.00,"ADVERTISING IN WAVE CINEMA","HOTEL AMARA","WAVE  CINEMA MORADABAD","1-7-2017 TO 27-7-2017 (27 DAYS)","10 SEC","10 SEC X 3SCREEN X 27DAYS","INTERVELL",$0.00,"",$700.00,"PER 10 SEC.",$8100.00,$6075.00,"RO PART OF RO NO- 2039",$9080.10,$2414.00,$0.00,"1638",$9425.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.00,$1093.50,$7168.50,
$41.00,$2101.00,24-7-2017 0:00:00,$1.00,"PVR LIMITED",$29.00,"FIRST VENTURE HOLDINGS",$5.00,"ADVERTISING IN PVR CINEMA","HOTAL AMARA","PVR CINEMA MORADABAD","1-7-2017 TO 20-7-2017 (20 DAYS)","10 SEC.","10 SEC. X  20 DAYS X 3 SCREEN","INTERVAL",$0.00,"",$1200.00,"WITH SERVICE TAX 18 %",$10285.20,$6171.12,"SPORT RO 2027",$9709.23,$2415.00,$0.00,"1639",$13493.00,$0.00,$9.00,$555.40,$9.00,$555.40,$0.00,$0.00,$7281.92,
$42.00,$2102.00,24-7-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$46.00,"BRASSCITY ENTERPRISES",$4.00,"ADVERTISING IN WAVE CINEMA","TVS - APACHE/JUPITOR","WAVE CINEMA MORADABAD","1-7-2017 TO 27-7-2017","35 SEC.","35 SEC X 27 DAYS X 3 SCREEN","INTERVAL",$0.00,"",$700.00,"FOR 10 SEC.",$29400.00,$22050.00,"SAPORT RO 2056",$31780.35,$2416.00,$0.00,"1677",$31780.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.00,$3969.00,$26019.00,
$43.00,$2103.00,24-7-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$7.00,"MADHURAM FURNITURE",$4.00,"ADVERTISING IN WAVE CINEMA","MADHURAM FURNITUER","WAVE CINEMA MORADABAD","1-7-17 TO 17-7-2017","30 SEC.","30 SEC. X 3 SCREEN X 17 DAYS","INTERVAL",$0.00,"",$600.00,"FOR 10 SEC.",$13114.14,$10491.31,"SAPORT RO 2020",$13932.26,$2417.00,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.00,$1888.44,$12379.75,
$44.00,$2104.00,24-7-2017 0:00:00,$1.00,"PVR LIMITED",$7.00,"MADHURAM FURNITURE",$5.00,"ADVERTISING IN PVR CINEMA","MADHURAM FURNITURE","PVR CINEMA MORADABAD","1-7-2017 TO 27-7-2017 (27 DAYS)","30 SEC.","30 SEC. X 3 SCREEN X 27 DAYS","INTERVAL",$0.00,"",$1200.00,"FOR 10 SEC.",$41655.06,$24993.03,"SAPPORT RO - 2048",$34276.06,$2418.00,$0.00,"1635",$36372.00,$0.00,$9.00,$2249.37,$9.00,$2249.37,$0.00,$0.00,$29491.78,
$45.00,$2105.00,25-7-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$33.00,"PRATISHTHA DAIRY FARMS PVT. LTD.",$4.00,"ADVERTISING IN WAVE CINEMA","PRATISHTHA DAIRY","WAVE CINEMA MORADABAD","29-7-2017 TO 25-8-2017 (4 WEEK)","10 SEC .","10 SEC. X 3 SCREEN X 4 WEEK","INTERVELL",$0.00,"",$600.00,"AGREE NET RATE 490 FOR 10 SEC.",$7200.00,$5880.00,"USE RUNNING ADVT FOR ADVERTISING.
GROSS RATE FOR 10 SEC. = 600/-
AGREED  RATE FOR 10 SEC. = 490/-",$8240.23,$2446.00,$6938.00,"1708",$16480.00,$6938.00,$0.00,$0.00,$0.00,$0.00,$18.00,$1058.40,$6938.40,
$46.00,$2106.00,25-7-2017 0:00:00,$2.00,"AMAR UJALA",$35.00,"ROHIT RASTOGI",$8.00,"MATRIMONIAL","MATRIMONIAL - REQUIRED GIRL","AMAR UJALA UP UK","30-7-2017","25 WORDS","25 WORDS","VAISH",$0.00,"",$2428.00,"FOR 1 TIME",$2428.00,$2063.80,"",$2523.15,$2437.00,$2167.00,"1602",$1602.00,$2166.99,$2.50,$51.60,$2.50,$51.60,$0.00,$0.00,$2166.99,
$47.00,$2107.00,26-7-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$46.00,"BRASSCITY ENTERPRISES",$4.00,"ADVERTISING IN WAVE CINEMA","TVS MOTORS","WAVE CINEMA MORADABAD","28-7-2017 TO 24-8-2017  (4 WEEK)","35 SEC.","35 SEC. X 3 SCREEN X 4 WEEK","INTERVAL",$0.00,"",$700.00,"FOR 10 SEC.",$29400.00,$22050.00,"USE  PRIVOUS  ADVT  OF  TVS  APACHE RTS.",$32957.40,$2489.00,$26019.00,"1686",$32957.00,$26019.00,$0.00,$0.00,$0.00,$0.00,$18.00,$3969.00,$26019.00,
$48.00,$2108.00,26-7-2017 0:00:00,$3.00,"DAINIK JAGRAN",$3.00,"GURPREET GRAMUDHYOG SAMITI",$1.00,"RETAIL GURU 2","JIWAN / RAJHANS SOAP","MORADABAD, BAREILLY, BIJNOR, HALDWANI","27-7-2017","H=7CM. W=9CM.","63 SQCM. X 4 = 252 SQCM.","GOOD",$0.00,"",$38.00,"PER SQCM.",$9576.00,$8857.80,"",$10054.80,$2425.00,$9301.00,,$0.00,$0.00,$2.50,$221.45,$2.50,$221.45,$0.00,$0.00,$9300.69,
$11.00,$2073.00,8-7-2017 0:00:00,$2.00,"AMAR UJALA",$11.00,"SURBHI KALA KENDRA",$2.00,"RUNNING CLASSIFIED","REQUIRED","MORADABAD","9-7-17, 16-7-17, 23-7-17","25 WORDS","25 WORDS","FILM/MONORANJAN",$0.00,"",$894.00,"894 + 894",$1788.00,$1519.80,"",$1783.53,$2434.00,$1596.00,"1612",$1612.00,$1595.79,$2.50,$38.00,$2.50,$38.00,$0.00,$0.00,$1595.79,
$12.00,$2074.00,10-7-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$12.00,"B.C.L. EDUCATIONAL SOCIETY",$4.00,"ADVERTISING IN WAVE CINEMA","B C L","WAVE CINEMA MORADABAD","11-7-17 TO 7-8-17 (4 WEEK)","10 SEC.","10 SEC. X 3 SCREEN X 4 WEEK","INTERVELL",$0.00,"",$700.00,"FOR 10 SEC",$8400.00,$6300.00,"",$9416.40,$2402.00,$7434.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.00,$1134.00,$7434.00,
$13.00,$2075.00,8-7-2017 0:00:00,$2.00,"AMAR UJALA",$13.00,"YOG CENTER",$3.00,"DISPLAY CLASSIFIED","REQUIRED","AMAR UJALA UTTRAKHAND","9-7-17","4X3","12 SQCM.","SAMANY",$0.00,"",$372.00,"PER SQCM.",$4464.00,$3794.40,"",$4452.84,$2409.00,$3984.00,"1610",$1610.00,$0.00,$2.50,$94.86,$2.50,$94.86,$0.00,$0.00,$3984.12,
$14.00,$2076.00,8-7-2017 0:00:00,$3.00,"DAINIK JAGRAN",$13.00,"YOG CENTER",$3.00,"DISPLAY CLASSIFIED","REQUIRED","DAINIK JAGRAN NAINITAL","9-7-17","4X3","12 SQCM.","SAMANY",$0.00,"",$165.00,"PER SQCM.",$1980.00,$1683.00,"",$1975.05,$2433.00,$1767.00,"1611",$1975.00,$0.00,$2.50,$42.08,$2.50,$42.08,$0.00,$0.00,$1767.15,
$15.00,$2092.00,8-7-2017 0:00:00,$0.00,"",$0.00,"",$0.00,"","","","","","","",$0.00,"",$0.00,"",$0.00,$0.00,"",$0.00,$0.00,$0.00,"",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
$16.00,$2077.00,8-7-2017 0:00:00,$2.00,"AMAR UJALA",$14.00,"AGARWAL MOTORS",$2.00,"RUNNING CLASSIFIED","REQUIRED","MORADABAD","9-7-17","25 WORDS","25 WORDS","SAMANYA",$0.00,"",$894.00,"",$894.00,$759.90,"",$938.70,$2431.00,$798.00,"1608",$1608.00,$0.00,$2.50,$19.00,$2.50,$19.00,$0.00,$0.00,$797.90,
$17.00,$2078.00,8-7-2017 0:00:00,$2.00,"AMAR UJALA",$15.00,"SAJIDA INTER COLLEGE",$2.00,"RUNNING CLASSIFIED","REQUIRED TEACHERS","MORADABAD","10-7-17, 12-7-17, 16-7-17","25 WORDS","25 WORDS","REQUIRED TEACHERS",$0.00,"",$894.00,"",$1788.00,$1519.80,"",$1877.40,$2432.00,$1596.00,"1609",$1609.00,$1595.79,$2.50,$38.00,$2.50,$38.00,$0.00,$0.00,$1595.79,
$18.00,$2079.00,10-7-2017 0:00:00,$3.00,"DAINIK JAGRAN",$3.00,"GURPREET GRAMUDHYOG SAMITI",$1.00,"RETAIL GURU 2","JIWAN / RAJHANS SOAP","MORADABAD, BIJNOR, BAREILLY, HALDWANI","11-7-17","H=7 W=9","63SQCM. X 4 = 252","GOOD",$0.00,"",$38.00,"PER SQCM.",$9576.00,$8857.80,"",$10054.80,$2420.00,$9301.00,"1618",$200000.00,$0.00,$2.50,$221.45,$2.50,$221.45,$0.00,$0.00,$9300.69,
$19.00,$2080.00,11-7-2017 0:00:00,$4.00,"HINDUSTAN",$3.00,"GURPREET GRAMUDHYOG SAMITI",$9.00,"DISPLAY AD","JIWAN SOAP","HINDUSTAN ALL EDITION","13-7-2017","8X8","64 SQCM. (COLOUR)","BACK PAGE ONLY",$0.00,"",$950.00,"PER SQCM.",$60800.00,$51680.00,"",$63840.00,$2421.00,$54264.00,,$0.00,$54261.00,$0.00,$0.00,$0.00,$0.00,$5.00,$2584.00,$54264.00,
$20.00,$2081.00,11-7-2017 0:00:00,$6.00,"PRIDE EAST ENTERTAINMENT PVT. LTD.",$3.00,"GURPREET GRAMUDHYOG SAMITI",$6.00,"ADVERTISING IN NEWS CHANNEL","JIWAN SOAP","RANG ASSAM","16-7-17 TO 15-8-17 (31 DAYS)","15 SEC.","15 SEC. X 1 AD PER DAY X 31 DAYS","BORALA KAI 10:00 PM",$0.00,"",$1000.00,"FOR 10 SEC.",$46500.00,$39525.00,"BORALA KAI 10:00 PM 
465 SECOND (46.5 SPOT FOR 10 SEC. )",$54870.00,$2422.00,$46640.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.00,$7114.50,$46639.50,
$1.00,$2064.00,1-7-2017 0:00:00,$3.00,"DAINIK JAGRAN",$3.00,"GURPREET GRAMUDHYOG SAMITI",$1.00,"RETAIL GURU 2","JIWAN / RAJHANS SOAP","MORADABAD, BIJNOR, HALDWANI, BAREILLY","3-7-2017","HEIGHT=7CM. WIDTH=9CM.","63 SQCM X 4 = 252 SQCM.","GOOD",$0.00,"",$38.00,"PER SQCM.",$9576.00,$8857.80,"",$10054.80,$2401.00,$955100.00,"1617",$200000.00,$0.00,$2.50,$221.45,$2.50,$221.45,$0.00,$0.00,$9300.69,
$2.00,$2065.00,3-7-2017 0:00:00,$2.00,"AMAR UJALA",$2.00,"K S TRAVEL",$7.00,"SHOKE SAMACHAR","SHOK SAMACHAR","AMAR UJALA MORADABAD CITY","6-7-2017","8X8","64 SQCM.","PERSONAL",$0.00,"",$108.00,"PER SQCM.",$6912.00,$5875.20,"",$6168.96,$2400.00,$6169.00,,$0.00,$6168.96,$2.50,$146.88,$2.50,$146.88,$0.00,$0.00,$6168.96,
$3.00,$2066.00,3-7-2017 0:00:00,$2.00,"AMAR UJALA",$4.00,"KAMLESH VEER SINGH",$8.00,"MATRIMONIAL","MATRIMONIAL --- VAR CHAHIYE","AMAR UJALA ALL EDITION.","9-7-17, 30-7-17, 13-8-17","25 WORDS","25 WORDS","BRAHMIN",$0.00,"",$2938.00,"FOR 1 TIME",$5876.00,$4994.60,"MATRIMONIAL WITH 2 +1  SCHEME",$6132.00,$2439.00,$5245.00,"1615",$1615.00,$5506.55,$2.50,$124.87,$2.50,$124.87,$0.00,$0.00,$5244.33,
$4.00,$2091.00,17-7-2017 0:00:00,$3.00,"DAINIK JAGRAN",$3.00,"GURPREET GRAMUDHYOG SAMITI",$1.00,"RETAIL GURU 2","JIWAN / RAJHANS SOAP","MORADABAD, HALDWANI, BIJNOR, BAREILLY","19-7-2017","H-7 W-9","63SQCM. X 4 =252 SQCM.","GOOD",$0.00,"",$38.00,"PER SQCM.",$9576.00,$8857.80,"",$10054.80,$2423.00,$9301.00,,$0.00,$0.00,$2.50,$221.45,$2.50,$221.45,$0.00,$0.00,$9300.69,
$5.00,$2067.00,3-7-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$5.00,"DEVYOG ELECTRONIC",$4.00,"ADVERTISING IN WAVE CINEMA","DEVYOG ELECTRONICE","WAVE CINEMA MORADABAD","5-7-17 TO 1-8-17 (4 WEEK)","10 SEC.","10 SEC. X 3 SCREEN X 4 WEEK","INTERVELL",$0.00,"",$600.00,"PER 10 SEC.",$7200.00,$5760.00,"",$8240.23,$2411.00,$6797.00,"1601",$8240.00,$6797.00,$0.00,$0.00,$0.00,$0.00,$18.00,$1036.80,$6796.80,
